No	Year	Genre	Source	a	b	c	left	key	right
1 	1991	NEWS	Atlanta 	A	B	C	He caved-in , leaked , lied  and  tried  to  suck 	  us  into  Lip-Reading 	  102   .   #    Never  was the legislation a quota bill .
2 	1992	SPOK	ABC_Jennings 	A	B	C	of POW hunters like Gritz .  Brooks  said  Gritz  talked 	  him  into  donating 	  20,000   dollars   in   1981  to help train mercenaries in
3 	1992	FIC	BkSF:Meri 	A	B	C	thank me proper . . .  "  The  leer  wrested 	  itself  into  something 	  a   babe   in   arms  would have found disturbing . " Pardon
4 	2009	MAG	Atlantic 	A	B	C	Committee . The USBC 's e-mail  was  intended  to  inflame 	  me  into  submitting 	  a   canned   letter   condemning  the article and speaking
5 	1993	SPOK	Ind_Geraldo 	A	B	C	Did she trick you into pregnancy  ?  Did  --  trick 	  you  into  fathering 	  a   child   ?   MICHAEL-1Ex-girlf  : I would n't say it was
6 	2006	FIC	IndiaCurrents 	A	B	C	decision by then . Love at  first  sight  had  coerced 	  him  into  marrying 	  a   complete   stranger   .  # Periodically over the next
7 	2002	SPOK	Fox_Hume 	A	B	C	corruption charges , convincing a  jury  the  FBI  tricked 	  him  into  signing 	  a   confession   .   MARK  COLUCCI , TRAFICANT 'S ATTORNEY :
8 	2005	SPOK	NPR_ATC 	A	B	C	arrested , and he claimed  that  authorities  there  tortured 	  him  into  making 	  a   confession   .   Prosecutors  denied that and said Abu Ali 's
9 	2002	SPOK	CBS_48Hours 	A	B	C	states going to attempt to get  a  jury  to  speculate 	  him  into  being 	  a   convicted   murderer   ,  and speculate him into the rest of
10 	1999	MAG	BoysLife 	A	B	C	n't be racing today if his  parents  had  n't  talked 	  him  into  entering 	  a   cross-country   race   about  four years ago . " I did
11 	2001	FIC	Bk:DeckHalls 	A	B	C	moved to New Jersey , Alvirah  thought  .  He  talked 	  Willy  into  getting 	  a   dental   implant   even  though it had n't worked last time
12 	2010	SPOK	ABC_ThisWeek 	A	B	C	going to be the final  additional  thing  that  pushes 	  Pakistan  into  being 	  a   failed   state   ?  The army is going to have to
13 	2007	MAG	Shape 	A	B	C	for 6 packets ; grocery stores  )  "  I  trick 	  myself  into  drinking 	  a   gallon   of   water  every day by adding in a little
14 	1993	NEWS	USAToday 	A	B	C	the governor is considering  it  .  Symington  pressed 	  lawmakers  into  passing 	  a   gambling   ban   last  week . ARKANSAS BLYTHEVILLE The
15 	2009	SPOK	Fox_Hannity 	A	B	C	to answer these questions . We  ca  n't  just  go 	  blindly  into  accepting 	  a   health-care   program   that  has n't had any -- I mean
16 	2000	FIC	Bk:BoneHunter 	A	B	C	as I was , I had  hoped  I  'd  badgered 	  him  into  offering 	  a   heated   rejoinder   ,  but instead , the detective said
17 	1991	SPOK	ABC_Primetime 	A	B	C	that need instead of some faraway  evangelist  that  's  talking 	  you  into  playing 	  a   heavenly   lottery   or  a heavenly slot machine SAWYER
18 	1991	FIC	Mov:HudsonHawk 	A	B	C	Oh , not too much .  Gates  tried  to  blackmail 	  me  into  doing 	  a   job   .   #   Tommy brakes and cappuccino flies . Hawk
19 	1995	MAG	Essence 	A	B	C	local mall in White Plains with  her  homies  who  talked 	  her  into  doing 	  a   karaoke-style   recording   of  Anita Baker 's " Rapture . "
20 	1991	MAG	ScienceNews 	A	B	C	the radar maps-due to differing viewing  angles  -  had  fooled 	  them  into  thinking 	  a   landslide   had   occurred  (SN : 10/26/91 , p.269 )
21 	2009	ACAD	CommunCare 	A	B	C	having the debate break down to  just  how  we  tweak 	  services  into  something 	  a   little   bit   different  . " # * The inquiry 's
22 	2014	SPOK	ABC 	A	B	C	. BOB-HANNAFORD# We 've taken the  meeting  space  and  changed 	  it  into  something 	  a   little   magical   .  RYAN-OWENS# (Voiceover) Every
23 	2003	MAG	HarpersMag 	A	B	C	, for the sense that Dahlberg  had  had  to  taunt 	  himself  into  writing 	  a   masterpiece   by   declaring  himself a neglected master
24 	1991	FIC	Mov:PlanetAdventure 	A	B	C	, but I did n't know  losing  to  me  drove 	  you  into  being 	  a   monk   !   Drew  is dumbstruck , and Trevor takes advantage
25 	1992	MAG	RollingStone 	A	B	C	he had no idea what to  do  when  Madonna  talked 	  him  into  directing 	  a   music   video   for  her . To practice , he took
26 	2011	FIC	Bk:GeorgiaBottoms 	A	B	C	corner off aim for Ava Jean  's  ear  ,  startle 	  her  into  producing 	  a   noise   that   would  stop Eugene from making the biggest
27 	2007	MAG	ConsumRep 	A	B	C	. A little-known law prevents  cable  companies  from  forcing 	  you  into  buying 	  a   package   beyond   the  most basic . Find out how much
28 	1999	MAG	AmerArtist 	A	B	C	missing something . It was not  until  a  friend  talked 	  her  into  taking 	  a   painting   workshop   that  she discovered what that
29 	2001	NEWS	Atlanta 	A	B	C	) . " I love it  when  a  potter  puts 	  love  into  making 	  a   piece   ,   then  you 're using it for the hospitable
30 	2000	SPOK	NPR_Saturday 	A	B	C	is a very big issue .  And  that  immediately  translates 	  itself  into  becoming 	  a   political   issue   in  this country . You know , when
